danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_title,popularity_scores,genre
0.917,0.68,11,-5.966,0,0.137,0.0488,1.4e-06,0.126,0.91,113.966,1O7h8bA4FHqZEi2y9xCDtK,192800,4,Electric,45,canadian pop
0.748,0.696,0,-5.975,1,0.0493,0.0174,0.0,0.267,0.891,127.002,5uXR7Nanrm9FfWDrpQBGfN,208360,4,Evacuate the Dancefloor - Radio Edit,0,dance pop
0.561,0.653,7,-4.918,1,0.0349,0.0418,0.0,0.347,0.496,91.961,3ueoTboomKEQpI3r9z47Kg,213720,4,F**kin' Perfect - Radio Edit,66,dance pop
0.484,0.759,4,-5.01,1,0.0392,0.0464,0.0,0.295,0.353,152.098,0y080AoWs2PLxJZjuhjcEl,254347,4,Fallout,52,canadian rock
0.69,0.834,0,-5.79,1,0.0566,0.129,0.0,0.136,0.738,127.43,4ycLiPVzE5KamivXrAzGFG,222933,4,Fuck You,66,atl hip hop
0.81,0.793,6,-9.404,0,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,69kOkLUCkxIZYexIgSG8rq,369627,4,Get Lucky (feat. Pharrell Williams & Nile Rodgers),74,electro
0.56,0.959,7,-2.433,1,0.102,0.000722,0.000221,0.209,0.669,163.983,45hOioMDJktr86iKDHC8gr,216600,4,Girlfriend,74,canadian pop
0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,4esOae7i4rqTbAu9o5Pxco,224920,4,Girl on Fire,76,hip pop
0.651,0.695,6,-3.218,1,0.0487,0.23,0.0,0.144,0.569,123.008,3sP3c86WFjOzHHnbhhZcLA,205347,4,Give Your Heart a Break,71,dance pop
0.698,0.844,7,-4.549,0,0.067,0.0577,1.69e-05,0.105,0.446,126.937,1OXfWI3FQMdsKKC6lkvzSx,198467,4,Glad You Came,0,boy band
0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,2LEF1A8DOZ9wRYikWgVlZ8,248133,4,Good Feeling,76,dance pop
0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,2tJulUYLDKOg9XrtVkMgcJ,222091,4,Grenade,77,dance pop
0.637,0.73,5,-5.38,0,0.0874,0.323,0.0,0.0981,0.732,93.867,7iu0WYLdo4yksKf3seaxzI,218947,4,Hate That I Love You,70,barbadian pop
0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968,1V6gIisPpYqgFeWbMLI0bA,210840,4,Heart Attack,78,dance pop
0.517,0.895,0,-4.754,1,0.0575,0.0125,6.16e-06,0.287,0.473,119.651,468oGE6AlJILlhe7ZiOpzf,189093,4,Heaven In Our Headlights,40,canadian pop
0.482,0.873,0,-3.145,1,0.0853,0.0111,0.0,0.409,0.737,165.084,0qwcGscxUHGZTgq0zcaqk1,214320,4,Here's to Never Growing Up,68,canadian pop
0.584,0.928,5,-5.253,1,0.0398,0.00435,0.0,0.179,0.673,142.041,5aCXn0FoBsHBXUZgqEqYo8,226253,4,Here We Go Again,34,dance pop
0.675,0.885,1,-4.432,0,0.0436,0.217,0.0,0.086,0.768,97.03,0KpfYajJVVGgQ32Dby7e9i,216667,4,"Hey, Soul Sister",1,dance pop
0.656,0.291,2,-10.572,1,0.0293,0.872,0.0,0.114,0.298,103.971,4RCWB3V8V0dignt99LZ8vH,232533,4,Hey There Delilah,78,neo mellow
0.648,0.722,0,-4.813,0,0.0427,0.0103,0.0,0.24,0.389,132.973,7Dyq1bhhjknLKEGg4k5NLr,228827,4,Hold It Against Me,57,dance pop
0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,0iGckQFyv6svOfAbAY9aWJ,220227,4,Hot N Cold,74,dance pop
0.652,0.605,8,-7.371,1,0.0393,0.00481,0.0,0.0605,0.394,126.091,360UM2DaiHZPRu0EsrOvMp,292707,4,If We Ever Meet Again (Featuring Katy Perry),68,dance pop
0.699,0.76,5,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996,14iN3o8ptQ8cFVZTEmyQRV,179640,4,I Kissed A Girl,75,dance pop
0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,6FB3v4YcR57y4tXFcdxI1E,219720,4,I Knew You Were Trouble.,77,pop
0.646,0.94,10,-2.856,0,0.0838,0.0209,0.0,0.0691,0.704,129.011,4nVyHATevhl5RC6Qmoko5H,231787,4,I Like It,65,latin pop
0.714,0.905,8,-2.663,1,0.0289,0.00855,2.55e-05,0.146,0.838,125.927,3VZQshi4COChhXaz7cLP02,155337,4,I Love It (feat. Charli XCX),62,candy pop
0.622,0.808,5,-4.701,1,0.0418,0.00543,5.63e-05,0.215,0.599,122.121,1KK0AkECJmxXlJetTYS3xE,204773,4,I Really Like You,46,canadian pop
0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,5cCAZS9VhLGEDV4NCfieeg,210267,4,I Wanna Go,65,dance pop
0.535,0.962,11,-3.453,1,0.0638,0.00361,0.0,0.163,0.687,144.984,0I329vpTJRdSRjEcWaQsSL,204526,4,Jet Lag (feat. Natasha Bedingfield),63,canadian pop punk
0.659,0.628,0,-8.685,0,0.179,0.186,0.0,0.105,0.262,94.05,3JA9Jsuxr4xgHXEawAdCp4,219427,4,Just Can’t Get Enough,76,dance pop
0.822,0.737,1,-4.542,0,0.0314,0.0261,4.19e-05,0.18,0.753,118.994,6HkjpGIOHv4y0IBAxUbE5z,241933,4,Just Dance,1,art pop
0.723,0.885,0,-5.723,1,0.0328,0.039,0.0,0.112,0.543,120.002,00hdeBrdXxmwmfhZNxt1lM,224853,4,Kiss Goodnight,33,pop quebecois
