,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,popularity_scores,genre
28,0.27,0.83,0,-6.121,1,0.0423,0.0115,1.03e-05,0.227,0.66,173.129,audio_features,0zC64zKPMGEZMYYdpG7WTx,spotify:track:0zC64zKPMGEZMYYdpG7WTx,https://api.spotify.com/v1/tracks/0zC64zKPMGEZMYYdpG7WTx,https://api.spotify.com/v1/audio-analysis/0zC64zKPMGEZMYYdpG7WTx,164506,4,Star Wars,9,alternative country
29,0.596,0.818,7,-6.319,1,0.0306,0.156,0.00927,0.123,0.669,132.691,audio_features,7yyGpYOm12ADxOWv5e0hWB,spotify:track:7yyGpYOm12ADxOWv5e0hWB,https://api.spotify.com/v1/tracks/7yyGpYOm12ADxOWv5e0hWB,https://api.spotify.com/v1/audio-analysis/7yyGpYOm12ADxOWv5e0hWB,195026,4,My Favorite Song,9,alternative country
30,0.315,0.945,9,-4.92,1,0.0899,0.0015,0.0,0.137,0.578,163.803,audio_features,4xeJjNicuASmSiiko2PAjd,spotify:track:4xeJjNicuASmSiiko2PAjd,https://api.spotify.com/v1/tracks/4xeJjNicuASmSiiko2PAjd,https://api.spotify.com/v1/audio-analysis/4xeJjNicuASmSiiko2PAjd,164107,4,P.S.,9,alternative country
31,0.576,0.812,7,-6.347,1,0.0268,0.239,3.17e-06,0.192,0.952,116.061,audio_features,7cnFA1YGYtPyWy9JuwGU5E,spotify:track:7cnFA1YGYtPyWy9JuwGU5E,https://api.spotify.com/v1/tracks/7cnFA1YGYtPyWy9JuwGU5E,https://api.spotify.com/v1/audio-analysis/7cnFA1YGYtPyWy9JuwGU5E,154490,4,Death And Rats,10,alternative country
32,0.321,0.894,7,-6.625,1,0.091,0.0458,0.000262,0.287,0.246,162.282,audio_features,45YMmycd7IhIFay5W4hukZ,spotify:track:45YMmycd7IhIFay5W4hukZ,https://api.spotify.com/v1/tracks/45YMmycd7IhIFay5W4hukZ,https://api.spotify.com/v1/audio-analysis/45YMmycd7IhIFay5W4hukZ,448540,4,Kill The Lights,7,alternative country
33,0.585,0.547,3,-7.267,1,0.0253,0.496,0.00705,0.247,0.595,78.421,audio_features,1KDU4tjBrSmRy8SAPjZ3lu,spotify:track:1KDU4tjBrSmRy8SAPjZ3lu,https://api.spotify.com/v1/tracks/1KDU4tjBrSmRy8SAPjZ3lu,https://api.spotify.com/v1/audio-analysis/1KDU4tjBrSmRy8SAPjZ3lu,136173,4,Born Into A Light,27,alternative country
34,0.228,0.724,7,-5.336,1,0.0374,0.198,0.000363,0.175,0.478,166.083,audio_features,4vvrxOdxSPsvdrJbrql9pI,spotify:track:4vvrxOdxSPsvdrJbrql9pI,https://api.spotify.com/v1/tracks/4vvrxOdxSPsvdrJbrql9pI,https://api.spotify.com/v1/audio-analysis/4vvrxOdxSPsvdrJbrql9pI,175747,4,Go Easy,21,alternative country
35,0.409,0.714,9,-5.62,0,0.0277,0.123,9.88e-05,0.169,0.713,158.865,audio_features,6KU04kbjKje7O2an75rVR6,spotify:track:6KU04kbjKje7O2an75rVR6,https://api.spotify.com/v1/tracks/6KU04kbjKje7O2an75rVR6,https://api.spotify.com/v1/audio-analysis/6KU04kbjKje7O2an75rVR6,177213,4,Fix It,32,alternative country
36,0.42,0.778,11,-5.314,0,0.0835,0.0708,6.45e-06,0.272,0.668,121.627,audio_features,7sydeO8cH2pLPkF5gF0Q1h,spotify:track:7sydeO8cH2pLPkF5gF0Q1h,https://api.spotify.com/v1/tracks/7sydeO8cH2pLPkF5gF0Q1h,https://api.spotify.com/v1/audio-analysis/7sydeO8cH2pLPkF5gF0Q1h,137787,4,Magick,38,alternative country
37,0.343,0.792,3,-7.057,1,0.0506,0.123,0.506,0.0971,0.359,123.563,audio_features,0ESE87656QFxh0GK1NVg6W,spotify:track:0ESE87656QFxh0GK1NVg6W,https://api.spotify.com/v1/tracks/0ESE87656QFxh0GK1NVg6W,https://api.spotify.com/v1/audio-analysis/0ESE87656QFxh0GK1NVg6W,236733,4,Cobwebs,17,alternative country
38,0.487,0.651,4,-6.118,1,0.0283,0.182,6.21e-06,0.221,0.537,88.336,audio_features,7IaLZHg4KYt0TYwBRo8Omn,spotify:track:7IaLZHg4KYt0TYwBRo8Omn,https://api.spotify.com/v1/tracks/7IaLZHg4KYt0TYwBRo8Omn,https://api.spotify.com/v1/audio-analysis/7IaLZHg4KYt0TYwBRo8Omn,260253,4,Let Us Down Easy,17,alternative country
